iter	Passed	Remaining
0	1	1726
1	3	1798
2	4	1591
3	6	1526
4	7	1422
5	9	1549
6	10	1491
7	11	1437
8	12	1419
9	13	1385
10	16	1499
11	18	1542
12	20	1544
13	21	1500
14	22	1482
15	24	1531
16	25	1495
17	26	1447
18	27	1415
19	28	1375
20	28	1337
21	29	1304
22	30	1275
23	30	1250
24	31	1220
25	31	1194
26	32	1167
27	33	1149
28	33	1126
29	34	1111
30	34	1091
31	35	1072
32	36	1058
33	36	1042
34	37	1026
35	37	1012
36	38	1002
37	39	995
38	39	982
39	40	970
40	41	962
41	41	954
42	42	942
43	42	931
44	43	924
45	44	913
46	44	903
47	45	893
48	45	884
49	46	876
50	46	870
51	47	864
52	48	858
53	48	852
54	49	847
55	49	842
56	50	837
57	51	832
58	51	827
59	52	825
60	53	821
61	54	818
62	54	813
63	55	809
64	55	805
65	56	801
66	57	797
67	57	791
68	58	789
69	59	786
70	59	783
71	60	780
72	61	777
73	61	773
74	62	769
75	63	767
76	63	765
77	64	760
78	64	757
79	65	753
80	66	749
81	66	745
82	67	741
83	67	737
84	68	733
85	70	748
86	72	757
87	73	757
88	74	760
89	75	759
90	76	761
91	77	760
92	78	761
93	79	762
94	80	762
95	81	763
96	81	763
97	83	765
98	84	771
99	85	770
100	86	767
101	86	763
102	87	761
103	88	759
104	88	758
105	89	757
106	90	755
107	91	753
108	92	752
109	92	749
110	93	746
111	93	743
112	94	741
113	95	738
114	95	736
115	96	735
116	97	732
117	97	731
118	98	728
119	99	726
120	99	723
121	100	721
122	100	716
123	100	713
124	101	710
125	102	708
126	102	705
127	103	702
128	103	700
129	104	698
130	105	696
131	105	694
132	106	692
133	106	690
134	107	688
135	108	686
136	108	684
137	109	681
138	109	679
139	110	678
140	110	675
141	111	672
142	111	670
143	112	667
144	112	665
145	113	664
146	114	663
147	114	660
148	115	658
149	115	656
150	116	654
151	116	652
152	117	651
153	118	649
154	118	647
155	119	645
156	119	643
157	120	641
158	120	639
159	121	638
160	122	636
161	122	635
162	123	634
163	124	634
164	125	633
165	125	631
166	126	629
167	126	627
168	127	626
169	127	624
170	128	623
171	129	622
172	129	621
173	130	619
174	131	617
175	131	616
176	132	614
177	132	613
178	133	611
179	133	610
180	134	607
181	134	606
182	135	605
183	136	604
184	136	602
185	137	601
186	137	599
187	138	598
188	139	596
189	139	595
190	140	593
191	140	592
192	141	590
193	141	589
194	142	588
195	143	587
196	143	586
197	144	585
198	145	585
199	145	583
200	146	582
201	146	580
202	147	579
203	148	578
204	148	577
205	149	575
206	150	574
207	150	573
208	151	572
209	151	571
210	152	570
211	153	569
212	153	568
213	154	567
214	155	566
215	155	565
216	156	563
217	156	562
218	157	561
219	157	560
220	158	558
221	159	557
222	160	558
223	160	556
224	161	555
225	161	554
226	162	552
227	162	551
228	163	550
229	164	549
230	164	548
231	165	547
232	166	546
233	166	545
234	167	544
235	167	542
236	168	541
237	168	540
238	169	539
239	169	538
240	170	536
241	171	536
242	171	535
243	172	534
244	173	533
245	173	532
246	174	531
247	174	530
248	175	529
249	176	528
250	176	527
251	177	526
252	177	525
253	178	523
254	179	523
255	179	522
256	180	521
257	180	520
258	181	519
259	182	518
260	182	517
261	183	516
262	183	515
263	184	514
264	185	513
265	185	512
266	186	511
267	186	510
268	187	509
269	187	508
270	188	507
271	189	506
272	190	506
273	191	506
274	192	507
275	193	506
276	194	506
277	194	505
278	195	504
279	195	503
280	196	502
281	196	501
282	197	500
283	198	499
284	198	498
285	199	497
286	199	496
287	200	495
288	200	494
289	201	493
290	202	492
291	202	491
292	203	491
293	204	490
294	205	489
295	205	489
296	206	489
297	207	488
298	207	487
299	208	486
300	209	485
301	209	484
302	210	483
303	211	483
304	212	483
305	212	482
306	213	482
307	214	481
308	214	480
309	215	479
310	216	478
311	216	477
312	217	476
313	217	476
314	218	475
315	219	474
316	219	473
317	220	472
318	221	471
319	221	471
320	222	469
321	222	468
322	223	467
323	223	466
324	224	466
325	225	465
326	225	464
