iter	Passed	Remaining
0	0	834
1	1	757
2	2	724
3	2	699
4	3	685
5	4	673
6	4	708
7	5	730
8	6	722
9	7	709
10	7	697
11	8	689
12	9	685
13	9	679
14	10	671
15	10	664
16	11	660
17	12	656
18	12	651
19	13	647
20	13	646
21	14	643
22	15	640
23	15	638
24	16	635
25	16	633
26	17	630
27	18	629
28	18	626
29	19	625
30	20	639
31	21	646
32	22	646
33	22	644
34	23	643
35	24	642
36	24	640
37	25	638
38	25	635
39	26	634
40	27	632
41	27	631
42	28	630
43	28	628
44	29	626
45	30	626
46	30	625
47	31	623
48	32	621
49	32	620
50	33	619
51	33	617
52	34	616
53	35	621
54	36	622
55	36	623
56	37	620
57	38	617
58	38	615
59	39	612
60	39	609
61	40	607
62	40	605
63	41	602
64	41	600
65	42	598
66	42	597
67	43	595
68	44	594
69	44	592
70	45	590
71	45	588
72	46	587
73	46	585
74	47	583
75	47	581
76	48	579
77	48	578
78	49	576
79	49	574
80	51	581
81	52	584
82	52	579
83	53	578
84	53	576
85	54	574
86	54	574
87	55	573
88	55	571
89	56	570
90	56	568
91	57	567
92	58	565
93	58	564
94	59	562
95	59	561
96	60	560
97	60	559
98	61	557
99	61	556
100	62	554
101	62	553
102	63	552
103	63	550
104	64	549
105	64	548
106	66	551
107	66	552
108	67	551
109	68	551
110	68	550
111	69	550
112	70	549
113	70	549
114	71	549
115	71	548
116	72	546
117	73	547
118	74	548
119	74	548
120	75	548
121	75	546
122	76	546
123	77	546
124	78	551
125	79	551
126	79	549
127	80	548
128	81	550
129	82	551
130	82	549
131	83	548
132	83	547
133	84	545
134	84	544
135	85	543
136	86	541
137	86	540
138	87	539
139	87	538
140	88	540
141	89	538
142	89	537
143	90	536
144	90	535
145	91	534
146	91	532
147	92	531
148	92	530
149	93	529
150	93	528
151	94	527
152	95	526
153	95	524
154	96	526
155	97	527
156	98	526
157	98	525
158	99	524
159	99	523
160	100	521
161	100	520
162	101	519
163	101	517
164	102	516
165	102	515
166	103	515
167	104	515
168	105	516
169	106	517
170	106	517
171	108	520
